bmi,sex,age,quantile,Belgium,Bulgaria,Czechia,Germany,Estonia,Ireland,Spain,France,Cyprus,Latvia,Luxembourg,Malta,Austria,Poland,Romania,Slovenia,Slovakia,Turkey
GE30,F,TOTAL,QU1,17.7,16.4,24.9,22.5,27.1,17.8,24.2,:,21.6,21.9,22.7,31.9,16.7,19.7,8.4,24.6,29.2,21.8
GE30,F,TOTAL,QU2,19.5,12.9,25.6,18.5,22.3,18.4,18,:,16.7,26.7,20.8,28.3,14,19.3,7.9,18.6,17.1,19.5
GE30,F,TOTAL,QU3,22.1,11,21.6,18.2,25.3,13.7,15.1,:,13.2,19.7,18.5,18.7,14.4,17,6,15.8,13.7,20
GE30,F,TOTAL,QU4,17.8,10.5,16.2,11.6,22.9,14.2,10,:,12.2,11.9,17.9,22.4,12.6,13.6,5.1,13,12.7,19.5
GE30,F,TOTAL,QU5,8.9,8,10.1,9.8,14.9,11.6,5.7,:,8.4,9.2,14.5,14.5,8.3,13.2,6.3,8.6,10.4,17.5
GE30,F,TOTAL,TOTAL,14.7,11.3,18.3,15.6,20.5,17.6,14.4,12.7,14.5,20.9,18.8,21.1,13.2,15.8,8,16.3,15.7,19.8
GE30,F,TOTAL,UNK,12,6.9,16.3,13.2,11.2,20.5,11.7,12.7,8.8,:,15.5,18.9,:,14.2,6.3,16.7,8.6,13.7
GE30,F,Y18-44,QU1,7.1,5.5,:,15.2,10.3,7.7,12.9,:,6,17.2,13,13.9,8.1,7.4,3.3,11.0,8.8,16.3
GE30,F,Y18-44,QU2,18,4,21.0,11.2,7,6.2,10.9,:,8.6,7.9,11.4,20.8,8.1,8.2,4,12.7,8.9,13.8
GE30,F,Y18-44,QU3,14.1,4.5,7,14.6,10.3,6.6,9.7,:,9.4,7.5,14.4,14.1,8.2,6.8,4.2,8.6,5.2,13.5
GE30,F,Y18-44,QU4,13.9,7.8,10.1,8.7,12.6,7.2,5.9,:,7.7,6.2,11,19.3,9,5.5,2.3,10.4,7.2,10.7
GE30,F,Y18-44,QU5,8.7,4.9,6.3,:c,6.9,2.7,4.8,:,4.6,4.2,8.6,12.3,6.2,4.8,:,2.7,4,9.1
GE30,F,Y18-44,TOTAL,10.4,5.3,9.1,10,8.3,7.9,8.3,9,7.6,7.4,10.6,14.3,7.9,6.1,3.6,8.6,6.1,13
GE30,F,Y18-44,UNK,7.9,2.6,8.7,7.8,3.7,10.2,7.2,9,7.5,:,3.6,11.2,:,5.8,2.5,10.1,3.6,6.4
GE30,F,Y45-54,QU1,14.2,13.9,:,22,22.7,15.3,25.5,:,24.9,12.3,27.9,29.2,21.9,14.6,14.5,:,21.9,38.4
GE30,F,Y45-54,QU2,12.6,10.5,:,21.6,28.7,26.9,14.8,:,20.1,31.6,24,23.5,13.2,19.2,12.6,22.3,12.1,32.2
GE30,F,Y45-54,QU3,22.8,14.3,21.8,22.3,22.1,24.6,19.8,:,19.9,27.9,23.5,25.7,17.2,18.4,9.2,28.3,16.2,36.4
GE30,F,Y45-54,QU4,19.7,9.1,31.2,12.3,29.2,15.9,15.3,:,15.6,21.8,17.9,16.0,13.3,17.5,:,22.9,22.5,33.9
GE30,F,Y45-54,QU5,6.6,7.5,13.5,11.7,24,16,6.9,:,11.3,:,22.5,15.7,8.9,17,:,13.6,16.1,30.3
GE30,F,Y45-54,TOTAL,13.9,10.6,20.2,15.8,24.4,22.8,14.6,12.7,17.2,26.9,23.2,21.2,14.2,17.9,13.3,19.5,17,34.2
GE30,F,Y45-54,UNK,13.3,21.4,16.2,11.7,15.7,26.5,11.6,12.7,:,:,25.4,21.1,:,18.8,12.9,9.5,15.2,:
GE30,F,Y55-64,QU1,39.5,20.3,:,30.1,43.9,25.7,30.8,:,29.7,39.6,27.2,37.1,26.4,29.4,13.2,41.8,38.9,30.9
GE30,F,Y55-64,QU2,38.4,17.6,24.5,23,36.0,23.4,28.4,:,26.6,34,39.9,34.2,24.2,30.6,16.3,23.1,28.1,31.8
GE30,F,Y55-64,QU3,24.8,20.4,29.1,:c,38.9,20.9,23.8,:,18.9,35.8,23.7,16.2,21.5,29,8.1,:,28.9,36.9
GE30,F,Y55-64,QU4,23.3,16,29.7,:c,41.5,30.4,12.7,:,22.9,46.4,25.4,34.6,20.1,28.1,:,:,24.0,49.9
GE30,F,Y55-64,QU5,12.4,18.6,23.9,:c,31,25.4,4.7,:,12.5,:,15.1,24.2,19.2,30,:,:,52.0,28.3
GE30,F,Y55-64,TOTAL,21.1,18.4,29.3,21.5,37.7,26.6,20.2,17.8,22.8,35.9,27.5,28.7,22.6,28.4,14.1,28,30.7,35.4
GE30,F,Y55-64,UNK,15.3,:,35.4,19.1,27.7,28,14.9,17.8,:,:,42.7,28.1,:,25.1,13.4,28.6,23.6,:
GE30,F,Y65-74,QU1,20.3,21,39.7,30.5,31.3,33.4,32.6,:,29.3,:,32.1,47.1,23.1,26.6,10.6,24.9,42,30.8
GE30,F,Y65-74,QU2,18.2,20.2,37.4,18.7,28.4,38.9,27.8,:,25.7,36.6,25.8,31.0,19.4,31.3,13.2,22.4,26.5,30.7
GE30,F,Y65-74,QU3,34.1,7.2,34.5,:c,39.7,28.1,23.8,:,16.1,36.2,14.5,:,17.1,27.4,:,:,35.0,35.6
GE30,F,Y65-74,QU4,21.2,14.4,:,:c,30.1,30.7,20.4,:,:,14.2,43.4,:,22.7,25.9,:,:,:,30.9
GE30,F,Y65-74,QU5,21.6,20.0,:,:c,41,:,8.1,:,:,:,23.0,:,6,26.4,:,:,:,54.6
GE30,F,Y65-74,TOTAL,21.5,18.9,35.9,21.7,33.8,32.4,26.8,17.8,26.6,35.3,26,31.9,19.6,27.6,10.8,24.2,33.7,33.4
GE30,F,Y65-74,UNK,15.7,:,:,16.9,25.1,31.8,24.7,17.8,:,:,:,23.1,:,26.5,5.0,30.5,13.9,:
GE30,F,Y_GE75,QU1,19.1,15.4,22.5,:c,19.9,22,27.5,:,21,:,19.2,:,15.8,19.6,7.3,19.8,24.7,18.4
GE30,F,Y_GE75,QU2,15.1,14.3,22.1,:c,30.2,18.6,26.5,:,27.7,29,13.9,45.5,14.6,22.7,9,:,20.1,19.5
GE30,F,Y_GE75,QU3,20.8,16.7,:,:c,23.4,6.8,19.6,:,:,24.8,25.7,:,26.2,23.5,:,:,:,5.4
GE30,F,Y_GE75,QU4,16,24.5,:,:c,31.9,:,33.9,:,:,:,21.0,:,12,19.5,:,:,:,26.2
GE30,F,Y_GE75,QU5,1.0,11.1,:,:c,33.8,:,17.1,:,:,:,:,:,11.9,28.8,:,:,:,31.5
GE30,F,Y_GE75,TOTAL,17,15.5,24.5,19.6,23.6,20,24.7,14.9,22.4,27.7,21.5,30.1,15.9,21.4,7.7,18.7,22.5,18.9
GE30,F,Y_GE75,UNK,16.2,:,18.4,:c,20.7,21.2,16.3,14.9,:,:,:,:,:,20,18.7,25.9,:,:
GE30,M,TOTAL,QU1,11.7,11.6,19.5,20.9,11.1,18.8,20.4,:,17.9,7.6,20.5,27.4,12.9,14.6,6.9,23.6,14.8,11.3
