bmi,sex,age,quantile,Belgium,Bulgaria,Czechia,Germany,Estonia,Ireland,Spain,France,Cyprus,Latvia,Luxembourg,Malta,Austria,Poland,Romania,Slovenia,Slovakia,Turkey
18.5-25,F,TOTAL,QU1,50.7,41.2,33.5,40.5,34.4,43.4,37.8,:,41.8,50.5,40.8,38.9,46.2,42.4,50.5,36,33.1,46.9
18.5-25,F,TOTAL,QU2,51.8,43.9,41.1,47.9,44.1,41.1,47.9,:,49.5,35.2,39.5,33.3,53.6,45,54.6,42.2,49.4,44.4
18.5-25,F,TOTAL,QU3,43.2,47,41.8,48.3,41.4,52.8,53.8,:,53.8,43.3,41,42.5,50.8,48.8,59.3,46.8,55.7,46.6
18.5-25,F,TOTAL,QU4,47.1,54.6,50.9,59.1,48.3,53.3,60.8,:,56.1,59.6,48.7,50.4,55.7,52.8,65.6,51,56.6,46.8
18.5-25,F,TOTAL,QU5,65.1,58.7,55.7,61.7,56.9,61.2,65,:,64.6,63.6,53,53.3,64.4,56,54.7,70.4,62.3,48.3
18.5-25,F,TOTAL,TOTAL,54.5,50.7,47.4,52.1,48,48,53.2,57.7,52.8,43.5,45.2,46.0,54.1,50.1,52.8,50.6,52.5,46.6
18.5-25,F,Y18-44,QU1,62.6,61.9,:,57.2,70.5,59.5,54.7,:,72.2,62.8,60.7,61.1,66.2,65.3,62.6,61.9,60.6,55.7
18.5-25,F,Y18-44,QU2,62.8,63.3,62.9,59.5,66.9,65.4,62,:,62.7,56.1,56.1,44.4,69.8,62.9,65.8,62.5,70.7,54.3
18.5-25,F,Y18-44,QU3,58,63.5,69,56.6,61.7,67.7,63.5,:,63.7,62.2,56.6,46.5,61.8,68.7,68.6,61.4,69.1,56.3
18.5-25,F,Y18-44,QU4,57.4,64,58.2,66,64,67.6,68,:,63.7,70.3,60.8,56.6,65.8,68,71.4,59.9,67,57.3
18.5-25,F,Y18-44,QU5,65.6,70,68.1,67.3,66.6,79.8,70.6,:,73.7,72.4,65.9,65.2,70.3,70.6,:,79.5,72.9,60.6
18.5-25,F,Y18-44,TOTAL,63.6,66.5,66.1,64.3,66.3,66.7,64.8,65.5,66,63.3,61.8,57.5,67.1,67.9,64.8,67,70.2,56.6
18.5-25,F,Y45-54,QU1,60.0,38.4,:,43.4,42.3,52.6,43.5,:,41.4,65.2,46.6,33.3,40.1,53.8,40.2,:,43.0,24.9
18.5-25,F,Y45-54,QU2,56.2,55.5,:,46.8,37.5,39.9,50.7,:,50.6,34.6,34.7,32.4,55.1,44.8,36.8,40.1,52.6,25.0
18.5-25,F,Y45-54,QU3,40.3,37.4,17.9,43.6,43,43.5,52.8,:,37.8,34.4,31.5,42.9,50.5,43.2,42.8,38.0,50.2,23
18.5-25,F,Y45-54,QU4,46.8,44.7,31.5,54.6,38.4,38.3,54.2,:,51.2,42.2,48.2,40.0,49.7,43.3,:,34.5,44.9,25.1
18.5-25,F,Y45-54,QU5,72.4,55.8,34.3,61.6,47.6,32.2,62.1,:,55.6,:,42.4,41.2,64.9,44.7,:,59.1,46,30.7
18.5-25,F,Y45-54,TOTAL,56.7,48.4,34.1,52.9,43.6,41.1,53.9,58.9,48.2,37.5,41.4,38.5,53.3,44,38.5,46.4,47.6,25.9
18.5-25,F,Y45-54,UNK,55.5,48.8,37.4,58,47.3,42.5,55.2,58.9,:,:,44.2,38.5,:,41.2,29.6,57.2,42.0,:
18.5-25,F,Y55-64,QU1,43,35.2,:,32.6,21.8,26.4,30.1,:,30.4,23.6,33.9,40.0,36.3,32.8,36.3,18.6,33,30.8
18.5-25,F,Y55-64,QU2,35,26.9,32.2,41.9,28.4,17.7,33.7,:,29.6,25.1,21.6,34.2,33.7,31.6,35.1,26.3,32.4,21.7
18.5-25,F,Y55-64,QU3,35.3,35.3,33.7,41.4,28.8,27.1,34.7,:,36,17.6,27.1,27.0,35.4,30.4,52.3,:,33.8,20.7
18.5-25,F,Y55-64,QU4,42,44.6,35.1,47.8,21.4,35.2,48.1,:,32.5,15.3,24.7,42.3,38.4,28.6,:,:,21.6,23.2
18.5-25,F,Y55-64,QU5,50.5,27.7,33.5,52.2,34,46.6,54.3,:,57.6,:,27.8,27.3,44.4,30.5,:,:,18.4,26.4
18.5-25,F,Y55-64,TOTAL,44.2,34.4,28,42.3,27.5,29.5,40.1,48.3,35.5,20.9,27.3,36.6,37,31.3,36.7,30.9,30,24.6
