bmi,sex,age,quantile,Belgium,Bulgaria,Czechia,Germany,Estonia,Ireland,Spain,France,Cyprus,Latvia,Luxembourg,Malta,Austria,Poland,Romania,Slovenia,Slovakia,Turkey
LT18.5,F,TOTAL,QU1,3.9,1.9,1.6,3.8,1.1,3.4,2.7,:,3.1,3.8,4.3,2.1,2.8,3.3,2.5,2.5,1.6,3.9
LT18.5,F,TOTAL,QU2,3.9,3.7,2.3,3.2,4.2,5.8,2.2,:,5.1,2.7,4.9,4.0,3,3.4,3.9,1.9,3.3,5.1
LT18.5,F,TOTAL,QU3,3.6,4.2,2.3,:c,3.6,1.9,2.6,:,5.2,3.3,5.4,4.2,2.4,2.7,4.1,0.4,4.2,3.6
LT18.5,F,TOTAL,QU4,2.6,4.9,9.8,3,3.2,3.3,4.2,:,5.3,2.6,5.6,2.8,3.7,3.8,:,3.6,6.2,5.2
LT18.5,F,TOTAL,QU5,5.2,6.9,5.6,3.2,6.8,4.1,5,:,5.9,3.9,4.5,2.9,3.8,4,2.4,2.5,6.7,5.3
LT18.5,F,TOTAL,TOTAL,4.1,5,4.3,3.4,4.3,3.2,3.5,5.2,5.1,3,4.9,3.2,3.2,3.8,3.1,2.5,4.5,4.6
LT18.5,F,TOTAL,UNK,4.2,13.8,2.9,4,5.5,2.8,4.7,5.2,11.8,:,4.7,3.2,:,4.8,3.7,3.3,6.6,12.5
LT18.5,F,Y18-44,QU1,5.6,7,:,7.4,2.0,9.8,6.5,:,6.7,4.0,8.8,2.8,5.3,7.7,4.9,7.3,8.9,5.5
LT18.5,F,Y18-44,QU2,6.3,11.3,6.3,:c,10.6,10.7,4,:,7.7,5.6,11.1,9.7,4.9,7,5.8,5.3,7.7,7.3
LT18.5,F,Y18-44,QU3,6.4,7.8,5.8,:c,7.2,3,4.1,:,8,6.3,9.9,6.1,4.4,4.9,6.9,:,7.4,4.6
LT18.5,F,Y18-44,QU4,2.8,8.1,13.7,:c,5.4,5.5,6.1,:,8.1,3.5,10,2.4,5.4,6.1,:,5.8,8.7,7.1
LT18.5,F,Y18-44,QU5,7.9,11,7.5,:c,10.1,6.9,8.3,:,9,5.9,6.4,4.4,5.2,6.9,:,4.1,9.2,7.8
LT18.5,F,Y18-44,TOTAL,5.8,10.3,8.1,5.3,8.3,5.8,6.1,7.6,8.5,5.4,8.9,5.5,5.1,6.7,5.4,4.5,8.3,6.4
LT18.5,F,Y18-44,UNK,5,20.1,5.2,6.5,8.1,5.4,8.6,7.6,23.2,:,7.2,6.1,:,7.9,6,5.5,8.6,18.0
LT18.5,F,Y45-54,QU1,5.6,:,:,:c,:,:,0.8,:,4.5,:,4.4,:,3.6,1.6,1.6,:,:,0.4
LT18.5,F,Y45-54,QU2,4.5,2.9,:,:c,:,7.6,0.5,:,4.6,2.7,2.8,:,1.4,2.1,0.8,:,1.2,0.3
LT18.5,F,Y45-54,QU3,3.4,3.2,:,:c,:,2,1.3,:,0.7,0.3,1.3,:,1.1,1.7,:,:,:,1.2
LT18.5,F,Y45-54,QU4,3.6,0.8,4.3,:c,1.6,1.1,2.1,:,1.6,:,1.2,4.0,1.5,1.8,:,:,1.5,:
LT18.5,F,Y45-54,QU5,0.6,1.2,:,:c,1.2,:,0.5,:,2.3,:,3.2,:,2.5,0.3,:,:,1.8,0.6
LT18.5,F,Y45-54,TOTAL,3.3,1.5,0.8,2.6,1,1.7,1.1,3.4,2.3,0.9,2.3,0.7,2,1.7,1.1,0.4,1.5,0.5
LT18.5,F,Y45-54,UNK,4.9,3.1,:,:c,3.0,1.5,1.4,3.4,:,:,:,0.9,:,2.3,:,1.8,6.9,:
LT18.5,F,Y55-64,QU1,3.9,0.7,:,:c,:,:,1.3,:,1.5,6.6,3.2,2.9,0.4,3.2,0.2,:,:,0.5
LT18.5,F,Y55-64,QU2,1.6,:,:,:c,:,2.2,0.8,:,1.7,2.5,:,:,2.2,0.5,1.1,:,:,0.5
LT18.5,F,Y55-64,QU3,1.8,1.1,:,:c,2.5,:,:,:,1,:,3.5,5.4,0.6,0.3,:,:,1.9,0.7
LT18.5,F,Y55-64,QU4,0.2,2.7,:,:c,:,:,0.6,:,:,2.2,:,3.9,1.8,1.5,:,:,:,3
LT18.5,F,Y55-64,QU5,0.6,0.9,:,:c,:,1.6,:,:,:,:,1.9,3.0,1.7,0.5,:,:,:,:
LT18.5,F,Y55-64,TOTAL,1.4,1,:,:c,0.6,0.5,0.6,1.9,1,1.4,1.9,1.9,1.4,1.2,0.5,0.7,0.5,0.9
LT18.5,F,Y55-64,UNK,1.8,:,:,:c,:,0.3,0.8,1.9,:,:,:,:,:,1.4,:,2.6,:,:
LT18.5,F,Y65-74,QU1,:,0.8,:,:c,1.2,:,0.8,:,:,:,1.7,:,0.5,2.1,0.9,:,0.7,3.5
LT18.5,F,Y65-74,QU2,1.2,:,:,:c,:,:,0.6,:,0.9,1.2,:,:,1.1,1.2,1.1,:,:,:
LT18.5,F,Y65-74,QU3,2.2,2,:,:c,0.7,:,0.5,:,:,:,2.8,:,0.5,0.5,:,:,:,3.1
LT18.5,F,Y65-74,QU4,1.5,:,:,:c,1.2,:,:,:,:,:,5.6,:,0.3,:,:,:,:,3.1
LT18.5,F,Y65-74,QU5,:,:,:,:c,4.1,:,1.0,:,:,:,:,:,:,0.4,:,:,:,2.9
LT18.5,F,Y65-74,TOTAL,1.6,0.7,1.5,:c,1.4,0.8,0.6,2.2,0.3,0.9,1.7,0.7,0.6,1.2,0.9,:,0.3,2.5
LT18.5,F,Y65-74,UNK,2.7,:,:,:c,4.3,1.3,0.6,2.2,:,:,:,2.6,:,1.5,:,:,:,:
LT18.5,F,Y_GE75,QU1,4,1.7,:,:c,1.5,:,1.1,:,3.9,:,2.9,:,1.7,1.6,1.5,4.4,:,0.6
LT18.5,F,Y_GE75,QU2,4.4,:,:,:c,3.6,:,1.5,:,2.6,1,2.2,4.6,1.7,1.5,4.1,:,1.1,4.8
LT18.5,F,Y_GE75,QU3,2.2,:,:,:c,4.5,:,0.7,:,:,1.5,:,:,0.3,2.2,:,:,:,2.8
LT18.5,F,Y_GE75,QU4,6.3,:,:,:c,:,:,:,:,:,:,:,:,4,:,:,:,:,:
LT18.5,F,Y_GE75,QU5,1.3,:,:,:c,:,:,:,:,:,:,:,:,:,1.4,:,:,:,9.2
LT18.5,F,Y_GE75,TOTAL,4.5,1.3,:,:c,1.9,0.9,1.4,5.5,3.4,1.1,2.2,3.6,1.8,1.5,1.7,2.4,0.4,2.8
LT18.5,F,Y_GE75,UNK,6,:,:,:c,:,1.4,3.3,5.5,:,:,:,:,:,2,:,:,:,:
LT18.5,M,TOTAL,QU1,1.8,1,2.1,:c,1.4,3,0.8,:,0.6,0.7,1.4,:,0.8,1.6,0.7,2.2,1,2.2
LT18.5,M,TOTAL,QU2,1.9,0.4,:,:c,0.2,0.3,0.4,:,0.4,1.4,1.2,1.1,1,0.4,0.3,0.8,0.3,1.5
LT18.5,M,TOTAL,QU3,1.7,0.6,:,:c,1.2,:,0.4,:,0.6,0.4,1.7,0.9,1,1,1.4,0.7,1,1.2
LT18.5,M,TOTAL,QU4,1.8,1,0.5,:c,1.5,0.2,0.4,:,0.2,0.2,3.1,2,0.4,0.8,:,0.6,:,2.2
LT18.5,M,TOTAL,QU5,0.8,0.8,0.9,:c,1,:,0.9,:,0.3,:,0.5,1.5,0.7,0.4,:,:,0.9,1.2
LT18.5,M,TOTAL,TOTAL,1.4,0.9,0.6,0.8,1.2,0.3,0.6,1.2,0.5,0.6,1.6,1.3,0.8,0.7,0.6,0.7,0.6,1.7
LT18.5,M,TOTAL,UNK,1.4,2.8,0.7,:c,1.8,0.4,0.9,1.2,5,:,1.9,1.7,:,0.5,0.2,0.9,1.1,7.2
LT18.5,M,Y18-44,QU1,3,2.7,:,:c,:,5.6,0.8,:,0.7,:,1.1,:,0.3,2.1,0.6,:,:,2.2
LT18.5,M,Y18-44,QU2,3,:,:,:c,:,:,0.5,:,:,1.5,2.4,2,0.9,0.5,0.4,1.9,:,2
LT18.5,M,Y18-44,QU3,2.7,0.7,:,:c,3,:,0.6,:,0.8,0.5,1.9,0.9,1.9,1.6,1.2,1.4,1.8,1.4
LT18.5,M,Y18-44,QU4,2.7,1.3,0.8,:c,2.7,0.4,0.4,:,0.3,0.3,6.1,3.9,0.5,1.2,:,1.1,:,2.2
LT18.5,M,Y18-44,QU5,1.3,1.1,0.7,:c,1.2,:,1.7,:,0.7,:,0.4,2.9,0.9,0.4,:,:,1.4,1.4
LT18.5,M,Y18-44,TOTAL,2.2,1.4,0.6,1.4,1.7,0.6,0.9,1.8,0.7,0.6,2.3,2.3,0.9,0.9,0.5,0.9,0.8,1.9
LT18.5,M,Y18-44,UNK,2.3,4.6,0.6,:c,2.5,0.8,1.4,1.8,9.2,:,3,2.4,:,0.6,0.4,0.9,1,7.6
LT18.5,M,Y45-54,QU1,0.9,:,:,:c,2.1,:,0.3,:,:,:,3.1,:,0.7,0.4,0.5,2.5,:,0.6
LT18.5,M,Y45-54,QU2,:,2.7,:,:c,:,2.0,0.2,:,:,2.1,:,:,:,0.1,0.1,:,1.6,1
LT18.5,M,Y45-54,QU3,3.5,:,:,:c,:,:,0.2,:,0.6,:,:,:,:,0.1,3.8,:,:,0.6
LT18.5,M,Y45-54,QU4,1,1.3,:,:c,:,:,:,:,:,:,:,:,0.1,:,:,:,:,1
LT18.5,M,Y45-54,QU5,:,0.6,1.9,:c,1.3,:,:,:,:,:,1.3,:,0.3,:,:,:,:,0.4
LT18.5,M,Y45-54,TOTAL,0.5,0.7,1.3,:c,0.8,0.2,0.1,0.9,0.2,0.5,0.8,:,0.2,0.2,0.4,0.3,0.5,0.7
LT18.5,M,Y45-54,UNK,:,:,:,:c,:,:,0.1,0.9,:,:,:,:,:,0.4,:,:,2.3,:
LT18.5,M,Y55-64,QU1,1.9,:,:,:c,:,:,1.6,:,:,3.4,1,:,0.7,1.7,0.8,7.4,3.2,2.9
LT18.5,M,Y55-64,QU2,3.5,:,:,:c,:,:,:,:,:,0.6,1.4,:,0.8,0.7,0.2,:,:,0.6
LT18.5,M,Y55-64,QU3,:,:,:,:c,:,:,0.3,:,:,:,:,:,:,0.3,:,:,:,1.1
LT18.5,M,Y55-64,QU4,:,:,:,:c,:,:,:,:,:,:,:,:,0.7,0.7,:,:,:,2.6
LT18.5,M,Y55-64,QU5,:,:,:,:c,:,:,:,:,:,:,:,:,:,:,:,:,:,0.8
LT18.5,M,Y55-64,TOTAL,0.6,:,:,:c,:,:,0.2,0.3,:,0.4,0.4,0.8,0.4,0.5,0.6,1,0.3,1.6
LT18.5,M,Y55-64,UNK,0.7,:,:,:c,:,:,:,0.3,:,:,:,2.6,:,0.2,:,:,:,:
LT18.5,M,Y65-74,QU1,1.2,:,:,:c,2.3,:,0.6,:,:,:,:,:,1.1,1.8,0.6,:,:,3.1
LT18.5,M,Y65-74,QU2,1.1,:,:,:c,1.9,:,0.6,:,1.9,2,:,2.6,0.7,:,0.4,:,:,0.9
LT18.5,M,Y65-74,QU3,:,:,:,:c,0.3,:,:,:,:,:,:,5.6,0.4,0.2,:,:,:,:
LT18.5,M,Y65-74,QU4,1.1,:,:,:c,:,:,:,:,:,:,:,:,:,0.4,:,:,:,1.9
LT18.5,M,Y65-74,QU5,0.4,:,:,:c,:,:,:,:,:,:,:,:,:,:,:,:,:,:
