bmi,sex,age,quantile,time\geo,Belgium,Bulgaria,Czechia,Germany,Estonia,Ireland,Spain,France,Cyprus,Latvia,Luxembourg,Malta,Austria,Poland,Romania,Slovenia,Slovakia,Turkey
18P5-25,F,TOTAL,QU1,2008,50.7,41.2,33.5,40.5,34.4,43.4,37.8,:,41.8,50.5,40.8,38.9u,46.2,42.4,50.5,36,33.1,46.9u
18P5-25,F,TOTAL,QU2,2008,51.8,43.9,41.1,47.9,44.1,41.1,47.9,:,49.5,35.2,39.5,33.3u,53.6,45,54.6,42.2,49.4,44.4u
18P5-25,F,TOTAL,QU3,2008,43.2,47,41.8,48.3,41.4,52.8,53.8,:,53.8,43.3,41,42.5,50.8,48.8,59.3,46.8,55.7,46.6
18P5-25,F,TOTAL,QU4,2008,47.1,54.6,50.9,59.1,48.3,53.3,60.8,:,56.1,59.6,48.7,50.4,55.7,52.8,65.6,51,56.6,46.8
18P5-25,F,TOTAL,QU5,2008,65.1,58.7,55.7,61.7,56.9,61.2,65,:,64.6,63.6u,53,53.3,64.4,56,54.7u,70.4,62.3,48.3
18P5-25,F,TOTAL,TOTAL,2008,54.5,50.7,47.4,52.1,48,48,53.2,57.7,52.8,43.5,45.2,46.0u,54.1,50.1,52.8,50.6,52.5,46.6u
18P5-25,F,Y18-44,QU1,2008,62.6,61.9,:,57.2,70.5u,59.5,54.7,:,72.2,62.8u,60.7,61.1u,66.2,65.3,62.6,61.9u,60.6,55.7u
18P5-25,F,Y18-44,QU2,2008,62.8,63.3,62.9u,59.5,66.9,65.4,62,:,62.7,56.1,56.1,44.4u,69.8,62.9,65.8,62.5,70.7,54.3
18P5-25,F,Y18-44,QU3,2008,58,63.5,69,56.6,61.7,67.7,63.5,:,63.7,62.2,56.6,46.5,61.8,68.7,68.6,61.4,69.1,56.3
18P5-25,F,Y18-44,QU4,2008,57.4,64,58.2,66,64,67.6,68,:,63.7,70.3,60.8,56.6,65.8,68,71.4u,59.9,67,57.3
18P5-25,F,Y18-44,QU5,2008,65.6,70,68.1,67.3,66.6,79.8,70.6,:,73.7,72.4u,65.9,65.2,70.3,70.6,:,79.5,72.9,60.6
18P5-25,F,Y18-44,TOTAL,2008,63.6,66.5,66.1,64.3,66.3,66.7,64.8,65.5,66,63.3,61.8,57.5,67.1,67.9,64.8,67,70.2,56.6
18P5-25,F,Y45-54,QU1,2008,60.0u,38.4,:,43.4,42.3u,52.6u,43.5,:,41.4,65.2u,46.6,33.3u,40.1,53.8,40.2,:,43.0u,24.9u
18P5-25,F,Y45-54,QU2,2008,56.2u,55.5u,:,46.8,37.5,39.9u,50.7,:,50.6,34.6,34.7,32.4u,55.1,44.8,36.8,40.1u,52.6,25.0u
18P5-25,F,Y45-54,QU3,2008,40.3,37.4,17.9u,43.6,43,43.5,52.8,:,37.8,34.4,31.5,42.9u,50.5,43.2,42.8,38.0u,50.2,23
18P5-25,F,Y45-54,QU4,2008,46.8,44.7,31.5u,54.6,38.4,38.3,54.2,:,51.2,42.2,48.2,40.0u,49.7,43.3,:,34.5u,44.9,25.1
18P5-25,F,Y45-54,QU5,2008,72.4,55.8,34.3u,61.6,47.6,32.2,62.1,:,55.6,:,42.4,41.2,64.9,44.7,:,59.1u,46,30.7
